type,name,age,breed,size,weight,dogs,cats,kids,energy,affection,new_people,training,image_url
Cat,Maxie,200,Persian/Himalayan,Unknown,5.19,2,2,2,2,2,2,3,https://new-s3.shelterluv.com/public/img/profile_photo/default_cat.png
Cat,Chloe,200,Domestic Longhair,Unknown,9.6,2,2,2,2,2,2,3,https://new-s3.shelterluv.com/public/img/profile_photo/default_cat.png
Cat,Mao,200,Domestic Shorthair,Unknown,11.3,2,2,2,2,2,2,3,https://new-s3.shelterluv.com/profile-pictures/7121674acf3d0a8a622c889fca1c20a8/20190910104553.png
Cat,Dean,137,Domestic Longhair,Unknown,12,2,1,1,2,2,2,3,https://new-s3.shelterluv.com/profile-pictures/72a8a2b8d9b80a05e1cb9fe9c4c1163a/20241208132958.png
Cat,Simba,159,Domestic Shorthair,Unknown,0.0,2,2,2,2,2,2,3,https://new-s3.shelterluv.com/profile-pictures/4dc32b0d93a7892930fbd9e2d70e8e7e/20190911105610.png
Cat,Reversi,140,Domestic Shorthair,Unknown,9,2,2,2,2,2,2,3,https://new-s3.shelterluv.com/profile-pictures/8becec302de90c1ab7409ade443aa133/20190910110649.png
Dog,Milo fka Sam,140,Mixed Breed (Medium),Medium (20-59),59.7,1,1,1,2,2,2,3,https://new-s3.shelterluv.com/profile-pictures/d9dc74b308ba54030d05189722ded854/20190914111736.png
Dog,Andi,166,Mixed Breed (Large),Large (60-99),53.8,3,1,3,2,2,3,3,https://new-s3.shelterluv.com/profile-pictures/b41d223b544a346b0248209c07202303/20220923101545.png
Cat,Arthur,223,Domestic Shorthair,Unknown,6.4,2,1,2,2,2,4,3,https://new-s3.shelterluv.com/profile-pictures/84ca3b30be0b452ec19251fc07ceaacb/20190910093246.png
Dog,Nebula,76,Mixed Breed (Medium),Medium (20-59),67.8,5,2,4,2,2,4,3,https://new-s3.shelterluv.com/profile-pictures/cd53be4b01f94be92ccd33fcc59f3556/20240609085851.png
Cat,Taylor Swift,146,Domestic Longhair,Unknown,12.4,2,2,2,2,2,2,3,https://new-s3.shelterluv.com/profile-pictures/94fab2460153bfe00253b9dacc3e56c4/20230821133927.png
